Fact_ID,Tag_Key,Confidence_Score
1000,26,0.6
1000,29,0.5
1001,26,0.8
1001,24,0.5
1001,54,0.5
1002,36,0.7
1002,24,0.5
1002,26,0.5
1002,27,0.5
1002,29,0.5
1002,53,0.5
1002,54,0.5
1003,26,0.5
1003,28,0.5
1003,37,0.5
1004,26,0.6
1004,12,0.5
1004,20,0.5
1005,26,0.9
1005,14,0.7
1005,10,0.5
1005,54,0.5
1007,12,0.5
1007,13,0.5
1007,20,0.5
1007,24,0.5
1007,29,0.5
1007,52,0.5
1008,29,0.7
1008,54,0.7
1008,10,0.5
1008,11,0.5
1008,17,0.5
1008,18,0.5
1008,27,0.5
1009,17,0.7
1009,18,0.7
1010,17,0.7
1010,18,0.7
1010,16,0.5
1010,24,0.5
1010,26,0.5
1010,27,0.5
1010,37,0.5
1010,54,0.5
1011,26,0.6
1011,54,0.5
1012,10,0.5
1012,12,0.5
1012,14,0.5
1013,53,0.7
1013,10,0.5
1013,26,0.5
1014,26,0.6
1014,11,0.5
1014,17,0.5
1014,18,0.5
1014,24,0.5
1014,54,0.5
1015,11,0.5
1016,26,0.6
1016,24,0.5
1017,24,0.5
1017,26,0.5
1017,27,0.5
1018,29,0.7
1018,26,0.6
1018,24,0.5
1019,26,0.5
1020,26,0.5
1020,37,0.5
1020,54,0.5
1021,26,0.6
1021,21,0.5
1021,27,0.5
1022,16,0.5
1022,24,0.5
1022,27,0.5
1022,54,0.5
1023,21,0.5
1023,28,0.5
1023,54,0.5
1024,51,0.6
1024,24,0.5
1024,26,0.5
1024,54,0.5
1025,24,0.5
1026,26,0.9
1026,27,0.5
1027,14,0.5
1027,24,0.5
1027,26,0.5
1028,29,0.8
1028,54,0.7
1028,10,0.5
1028,11,0.5
1028,17,0.5
1028,18,0.5
1028,24,0.5
1028,26,0.5
1028,27,0.5
1028,30,0.5
1029,30,0.5
1030,26,0.5
1031,26,0.5
1031,29,0.5
1031,54,0.5
1032,11,0.5
1032,17,0.5
1032,18,0.5
1033,12,0.8
1033,20,0.7
1033,13,0.5
1033,17,0.5
1033,18,0.5
1033,24,0.5
1033,26,0.5
1033,54,0.5
1034,10,0.5
1034,12,0.5
1034,14,0.5
1034,20,0.5
1034,26,0.5
1034,29,0.5
1034,54,0.5
1035,26,0.6
1036,11,0.7
1036,21,0.7
1036,26,0.7
1036,14,0.5
1036,24,0.5
1037,10,0.5
1037,27,0.5
1037,54,0.5
1038,12,0.5
1039,26,0.8
1039,21,0.5
1039,24,0.5
1039,29,0.5
1039,54,0.5
1040,14,0.8
1040,10,0.5
1040,12,0.5
1040,26,0.5
1040,27,0.5
1040,29,0.5
1041,27,0.7
1041,30,0.7
1041,10,0.5
1041,26,0.5
1041,29,0.5
1041,36,0.5
1041,37,0.5
1042,26,0.6
1043,26,0.5
1043,27,0.5
1043,28,0.5
1043,30,0.5
1043,54,0.5
1044,12,0.7
1044,10,0.5
1044,13,0.5
1044,14,0.5
1044,21,0.5
1044,24,0.5
1044,26,0.5
1044,29,0.5
1044,54,0.5
1045,10,1.0
1045,14,0.7
1045,29,0.7
1045,17,0.5
1045,18,0.5
1045,24,0.5
1045,30,0.5
1045,36,0.5
1045,37,0.5
1045,52,0.5
1046,26,0.5
1047,26,0.6
1047,24,0.5
1047,54,0.5
1048,27,0.8
1048,26,0.5
1048,28,0.5
1048,29,0.5
1048,30,0.5
1048,41,0.5
1049,24,0.5
1049,26,0.5
1049,29,0.5
1049,54,0.5
1050,17,0.5
1050,18,0.5
1050,29,0.5
1051,12,0.5
1051,21,0.5
1051,24,0.5
1051,26,0.5
1051,54,0.5
1052,27,0.8
1052,54,0.6
1052,28,0.5
1053,26,0.6
1053,10,0.5
1053,14,0.5
1053,27,0.5
1053,30,0.5
1053,54,0.5
1054,26,0.6
1054,14,0.5
1054,29,0.5
1055,26,0.6
1055,12,0.5
1055,24,0.5
1055,29,0.5
1056,26,0.7
1056,29,0.7
1056,54,0.7
1056,21,0.5
1056,24,0.5
1057,10,0.8
1057,27,0.7
1057,14,0.5
1057,28,0.5
1057,30,0.5
1057,41,0.5
1057,54,0.5
1058,26,0.7
1058,54,0.7
1058,24,0.5
1059,24,0.5
1059,26,0.5
1060,24,0.7
1060,26,0.5
1060,54,0.5
1061,26,0.6
1061,27,0.5
1062,26,0.6
1062,24,0.5
1063,10,0.7
1063,26,0.6
1063,27,0.5
1064,26,0.7
1064,12,0.5
1064,14,0.5
1064,17,0.5
1064,18,0.5
1064,20,0.5
1064,24,0.5
1064,27,0.5
1064,54,0.5
1065,12,0.7
1065,13,0.5
1065,24,0.5
1065,51,0.5
1065,54,0.5
1066,27,0.8
1066,14,0.5
1066,28,0.5
1066,29,0.5
1066,30,0.5
1066,48,0.5
1066,54,0.5
1067,26,0.6
1068,29,0.7
1068,54,0.7
1068,11,0.5
1068,12,0.5
1068,51,0.5
1069,12,0.7
1069,26,0.7
1069,20,0.5
1070,12,0.7
1070,20,0.5
1070,21,0.5
1070,24,0.5
1070,48,0.5
1070,54,0.5
1071,10,0.7
1071,12,0.5
1071,13,0.5
1071,30,0.5
1072,27,0.7
